Instrument,Recommendation - Mean (1-5),Price Target - Mean,Number of Analysts
LNT.OQ,2.08333,72.189,12
DE.N,2.32,518.975,26
DECK.N,2.40741,112.05364,27
SOLS.OQ,2.75,57.75,4
MSCI.N,2.2,648.35294,19
HOOD.OQ,2.08333,151.38632,25
VLTO.N,2.3,113.53438,20
AOS.N,2.5,78.46546,15
VST.N,1.90909,230.6015,23
BAX.N,3.0,24.20067,18
UHS.N,2.5,249.82842,20
INTC.OQ,3.06522,36.26,45
LDOS.N,2.05882,219.18,17
LH.N,1.90476,299.75278,22
PH.N,2.04,909.87286,26
BRO.N,2.70588,94.80769,16
TSN.N,2.64286,63.10615,14
FOX.OQ,2.40909,68.47632,21
XEL.OQ,1.84211,88.0,19
TYL.N,2.05,639.36588,20
CAG.N,3.0,20.50471,19
ISRG.OQ,2.20588,600.90967,35
KKR.N,1.85714,158.07118,19
ALB.N,2.62963,112.66913,27
PPL.N,2.05882,40.03333,17
JBHT.OQ,2.24,172.35696,26
VMC.N,2.0,319.2313,25
HSY.N,2.84,188.88833,25
EOG.N,2.32353,136.159,34
AKAM.OQ,2.46154,96.85046,27
PCAR.OQ,2.61905,107.0025,20
KIM.N,2.36,24.07143,11
WAB.N,2.14286,231.5,13
ETR.N,2.08696,102.716,24
EXC.OQ,2.55,49.44875,20
ZTS.N,1.95,162.51,21
MAS.N,2.69565,73.70684,25
MCD.N,2.46154,335.84355,39
AVGO.OQ,1.73469,426.67361,51
CVS.N,2.0,93.3372,29
LOW.N,2.16667,272.07281,35
ICE.N,1.94118,189.165,17
NDSN.OQ,2.41667,264.722,13
LII.N,2.65,564.63941,19
INVH.N,2.41667,34.40476,13
HCA.N,2.25926,479.91864,26
BKNG.OQ,2.05,6181.19784,36
DELL.N,2.07692,159.78333,28
APTV.N,2.08696,97.04556,24
MOS.N,2.35,33.92316,19
SMCI.OQ,2.6,45.79412,20
BAC.N,1.96154,56.97769,26
MSFT.OQ,1.6875,622.39509,61
AMP.N,2.4375,540.59333,16
HPQ.N,2.94444,26.18563,18
GIS.N,2.86364,54.01632,22
AEE.N,2.3125,112.65929,15
ABT.N,2.03226,143.92852,31
DLR.N,2.06667,198.52,24
ULTA.OQ,2.25926,616.88409,29
FTNT.OQ,2.72093,87.15343,42
CME.OQ,2.625,285.365,17
IBKR.OQ,1.7,77.11111,10
TT.N,2.56,482.54722,24
WMT.OQ,1.70455,119.07949,42
UBER.N,1.94643,111.44681,53
INTU.OQ,1.9697,807.56179,33
CTRA.N,1.88462,32.1244,24
NTAP.OQ,2.57143,123.22643,21
F.N,2.91667,12.82429,25
UNH.N,2.31035,396.19231,29
WMB.N,2.08,68.37667,23
IVZ.N,2.64286,27.0,13
TGT.N,2.775,98.67,39
BXP.N,2.47826,78.84211,10
VTR.N,1.85714,83.84211,9
CMI.N,2.30435,522.88611,24
DGX.N,2.3,196.71647,20
EA.OQ,2.88462,194.08458,30
SOLV.N,2.46667,85.82909,15
RJF.N,2.61539,184.5,14
CPAY.N,1.875,356.16,16
CVX.N,2.21429,172.70652,28
ERIE.OQ,1.0,,1
HPE.N,2.31818,25.98824,22
BRKb.N,2.25,537.0,5
PKG.N,2.5,223.42333,13
IDXX.OQ,2.0,768.15786,17
CBOE.Z,2.9375,265.58333,17
HBAN.OQ,1.90476,20.02632,21
COST.OQ,2.1579,1036.97452,37
NCLH.N,2.04,27.85864,24
KR.N,2.25,74.116,25
ZBRA.OQ,2.11111,358.74267,19
ADM.N,3.0,57.813,12
FITB.OQ,2.0,50.89474,24
REGN.OQ,2.06667,784.57448,29
EXPD.N,3.375,128.64286,17
CCI.N,2.25,114.21895,19
CRWD.OQ,2.25926,542.7975,53
BLK.N,1.94737,1299.27125,17
GPN.N,2.51613,104.37522,34
UNP.N,2.03704,260.0976,28
EFX.N,2.15385,266.2481,26
ANET.N,1.92308,162.86952,29
JPM.N,2.38462,324.1675,28
CSX.OQ,1.96154,39.55042,26
AMD.OQ,2.01818,273.97068,56
COP.N,2.0,111.96704,30
TER.OQ,2.16667,191.425,18
MCHP.OQ,2.07407,74.01833,27
REG.OQ,2.09524,79.47368,12
CNP.N,2.44444,42.35813,19
COIN.OQ,2.21622,380.633,35
PAYX.OQ,3.11111,127.60214,18
BFb.N,3.0,31.51842,20
LMT.N,2.41667,531.18556,24
TEL.N,2.04762,267.57444,22
J.N,2.22222,156.48933,18
D.N,2.9,63.70067,20
WST.N,1.94444,347.44467,19
NOW.N,1.85106,1156.40883,48
BA.N,1.82143,251.69174,27
AMT.N,2.0,228.84211,16
LUV.N,2.96,34.97286,25
O.N,2.70833,62.8,11
EQIX.OQ,1.93103,967.70833,25
RCL.N,1.96429,326.71708,29
ADBE.OQ,2.075,444.32576,39
GRMN.N,3.11111,221.426,8
EQT.N,1.96429,64.3924,28
RSG.N,2.14286,245.78417,28
STE.N,2.11111,281.72625,10
MDT.N,2.34286,110.16179,35
TSLA.OQ,2.69091,379.67558,56
MDLZ.OQ,2.14286,68.5537,27
CINF.OQ,2.33333,172.66667,8
ES.N,2.57895,72.80733,20
CSCO.OQ,2.2,84.51105,25
NRG.N,2.13333,188.77583,16
NFLX.OQ,2.06522,129.90005,45
APA.OQ,2.90323,25.59929,29
ATO.N,2.66667,174.19182,15
AWK.N,2.8,141.643,15
CTVA.N,2.04,77.45,25
TRGP.N,1.73913,206.34364,19
TRV.N,2.65385,296.7775,25
TXN.OQ,2.725,185.75677,40
AMGN.OQ,2.48571,328.10643,34
DTE.N,2.21053,147.22867,18
GOOG.OQ,1.7,307.29412,51
HWM.N,1.88462,228.34381,26
WM.N,2.0,244.4244,28
CMS.N,2.29412,78.24846,16
CSGP.OQ,2.15,91.46875,20
TPL.N,2.5,951.8325,3
TDY.N,2.07143,613.77692,14
WDC.OQ,2.0,178.7525,27
MAR.OQ,2.48148,291.33125,29
EXR.N,2.61905,153.68421,10
GILD.OQ,1.96774,132.33926,29
EME.N,1.9,707.02625,10
GL.N,2.08333,167.81818,12
DHI.N,2.59091,165.02353,24
JBL.N,1.75,247.50667,12
IP.N,2.21429,48.423,14
KMI.N,2.17391,31.183,21
EL.N,2.64286,100.48625,27
MLM.N,2.2,673.2348,26
LYB.N,3.04546,53.26947,21
VZ.N,2.56,47.16435,24
VICI.N,1.91667,35.86364,10
KLAC.OQ,2.44828,1290.8096,27
ADSK.OQ,1.93548,372.19037,31
GLW.N,1.875,93.945,16
HUBB.N,2.4,470.60083,16
FFIV.OQ,2.92857,296.11,14
BDX.N,2.5,204.20546,17
PEG.N,2.40909,90.26471,22
BR.N,2.5,269.665,10
META.OQ,1.79105,834.89516,71
ROP.OQ,2.05,569.22,21
MAA.N,2.51852,148.16,13
HD.N,2.25641,397.42971,37
DUK.N,2.45833,135.19167,23
DLTR.OQ,2.77778,116.27909,28
BG.N,2.08333,105.67727,10
SO.N,2.72,97.853,25
TMUS.OQ,2.19355,271.96962,29
GEV.N,2.11765,728.22,40
DG.N,2.3,130.75259,31
WAT.N,2.33333,398.29167,22
NKE.N,2.2,82.80444,40
IR.N,2.35294,87.86571,17
TKO.N,1.82609,214.42762,20
SNA.N,2.63636,361.71375,11
PANW.OQ,2.07407,226.74674,54
SWK.N,2.63158,81.17,17
TJX.N,1.71429,161.18333,21
ED.N,3.05882,103.85714,17
SLB.N,1.7931,45.35222,30
ABBV.N,2.125,245.36828,32
AMAT.OQ,2.14706,249.65613,36
PSX.N,2.45455,148.1279,22
PFG.OQ,2.84615,89.08333,12
DVN.N,2.03125,45.21069,30
SCHW.N,2.0,111.16667,20
MMC.N,2.73913,211.7105,22
STLD.OQ,2.13333,175.89571,15
QCOM.OQ,2.39024,190.62217,38
CMG.N,2.02703,43.88281,37
LLY.N,2.0,1071.202,31
MET.N,2.0,93.71429,16
PFE.N,2.5,28.99963,26
ARE.N,2.73333,68.84615,5
PTC.OQ,2.1579,217.18941,17
CMCSA.OQ,2.6875,35.71778,29
KHC.OQ,2.86364,27.45857,21
ACGL.OQ,2.35,107.27778,19
TFC.N,2.3913,50.8825,23
IEX.N,2.2,194.02083,16
C.N,2.0,114.21182,24
AXP.N,2.625,353.26077,31
WRB.N,2.77778,73.43133,18
MRVL.OQ,2.11364,115.02546,44
GFS.OQ,2.36364,39.59238,23
LRCX.OQ,2.06061,163.61857,35
CRDO.OQ,1.625,220.53071,17
QRVO.OQ,2.8,102.25211,27
ALAB.OQ,1.95,204.02842,21
AVGO.OQ,1.73469,426.67361,51
RMBS.OQ,2.0,114.59,10
TXN.OQ,2.725,185.75677,40
ON.OQ,2.55556,58.77967,36
ENTG.OQ,2.23077,100.62833,13
TSM.N,1.63158,347.73441,18
ARM.OQ,2.35135,166.52,37
ADI.OQ,2.0,278.01281,35
MPWR.OQ,1.94737,1181.31786,19
MU.OQ,1.8913,241.67923,46
NXPI.OQ,1.93939,260.10258,35
MCHP.OQ,2.07407,74.01833,27
NVDA.OQ,1.77273,250.56228,67
MTSI.OQ,2.05882,177.96563,17
NVMI.OQ,1.88889,351.18125,9
AMD.OQ,2.01818,273.97068,56
AMAT.OQ,2.14706,249.65613,36
QCOM.OQ,2.39024,190.62217,38
TER.OQ,2.16667,191.425,18
SWKS.OQ,2.92593,83.22842,28
INTC.OQ,3.06522,36.26,45
COHR.N,2.0,172.16895,22
ASML.OQ,2.06667,1070.61704,29
KLAC.OQ,2.44828,1290.8096,27
